Code,SMILES,Classifications,Backbone_Type,Backbone_Info
CPA3,[NH3][C@H]([C](=O)=O)CC1CCCC1,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
CPG2,O=[C](=O)[C@H](c1ccccc1Cl)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
CPG3,OC(=O)[C@H](c1cccc(c1)Cl)[NH3],cyclic;d_amino,alpha,默认分类
CPG4,[NH3][C@@H](c1ccc(cc1)Cl)C(=O)O,cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
CPH2,OC(=O)[C@H](Cc1ccccc1Cl)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
CSA,CC(=O)CSC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
CSE,[NH3][C@H]([C](=O)=O)C[SeH],d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
CTE,[NH3][C@H]([C](=O)=O)Cc1c[nH]c2c1cccc2Cl,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
CTH,ClC[C@H]([C@@H](C(=O)O)[NH3])O,d_amino,alpha,默认分类
CYS,[NH3][C@@H](CS)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
D4P,OC(=O)[C@H](c1ccc(cc1)O)[NH3],cyclic;d_amino,alpha,默认分类
DAB,[NH3]CC[C@@H]([C](=O)=O)[NH3],cyclic;gamma_amino,gamma,DAB型γ氨基酸
DAH,OC(=O)[C@H](Cc1ccc(c(c1)O)O)[NH3],cyclic;d_amino,alpha,默认分类
DBY,OC(=O)[C@H](Cc1cc(Br)c(c(c1)Br)O)[NH3],cyclic;d_amino,alpha,默认分类
DDZ,OC([C@@H](C(=O)O)[NH3])O,unclassified,alpha,默认分类
DILE,CCC([C@@H](C(=O)O)[NH3])CC,unclassified,alpha,默认分类
DIPH,[NH3][C@@H]([C@H](c1ccccc1)c1ccccc1)C(=O)O,aromatic;cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
DMK,O=[C](=O)[C@H](C([C](=O)=O)(C)C)[NH3],d_amino,alpha,默认分类
DMP3,CCc1cccc(c1)C[C@@H](C(=O)O)[NH3],cyclic,alpha,默认分类
DPP,[NH3]C[C@@H]([C](=O)=O)[NH3],cyclic;beta_amino,beta,匹配模式: \[NH3\]C(?!C).*\[C\].*\(=O\)=O
ESC,CCSCC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
F2F,OC(=O)[C@H](Cc1ccc(c(c1)F)F)[NH3],cyclic;d_amino,alpha,默认分类
FCL,OC(=O)[C@H](Cc1cccc(c1)Cl)[NH3],cyclic;d_amino,alpha,默认分类
FGA4,OC(=O)[C@H](C[C@@H](C(=O)O)F)[NH3],d_amino,alpha,默认分类
FGL,[NH3]C([C](=O)=O)[C](=O)=O,beta_amino,beta,匹配模式: \[NH3\]C(?!C).*\[C\].*\(=O\)=O
FLA,[NH3][C@@H](C(F)(F)F)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
